date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_100,ema_diff_100,ema_1,ema_diff_1,ema_20,ema_diff_20,ema_5,ema_diff_5,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,vol_short,vol_long,vol_ratio_strategic,drawdown,max_drawdown_window,atr_pct,atr_pct_ma,atr_pct_ratio,vol_state,allow_trading,recommended_leverage,max_exposure_frac,stake_long_frac,stake_short_frac,stop_loss_frac,take_profit_frac,max_hold_hours
2025-12-14 20:00:00,88644.88,88827.71,88356.9,88558.97,585.18797,-0.00097,-0.00396,0.0021,-0.0003,-0.00107,-0.00185,90440.20204,1881.23204,88558.97,0.0,89401.78389,842.81389,88784.94139,225.97139,470.81,471.74643,0.00223,0.00152,-0.86603,0.5,-0.78183,0.62349,high_vol,0.00181,0.00474,0.38234,-0.02248,-0.03336,0.00533,0.00642,0.82935,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-14 21:00:00,88558.97,88714.66,88345.94,88443.85,309.77088,-0.0013,-0.00097,-0.00396,0.0021,-0.00209,-0.00549,90400.67032,1956.82032,88443.85,0.0,89310.5521,866.7021,88671.24426,227.39426,368.72,483.33714,0.00222,0.00152,-0.70711,0.70711,-0.78183,0.62349,high_vol,0.00178,0.00463,0.38422,-0.02375,-0.03336,0.00546,0.0064,0.85324,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-14 22:00:00,88443.85,88605.06,88017.0,88415.29,614.71972,-0.00032,-0.0013,-0.00097,-0.00396,-0.0003,0.0008,90361.35585,1946.06585,88415.29,0.0,89225.28904,809.99904,88585.92617,170.63617,588.06,513.07429,0.00224,0.00149,-0.5,0.86603,-0.78183,0.62349,high_vol,0.00178,0.0046,0.38701,-0.02406,-0.03336,0.0058,0.00638,0.90896,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-14 23:00:00,88415.29,88609.22,87577.36,88172.17,1055.44176,-0.00275,-0.00032,-0.0013,-0.00097,0.0021,0.00065,90318.00564,2145.83564,88172.17,0.0,89124.99199,952.82199,88448.00745,275.83745,1031.86,576.07,0.00189,0.00153,-0.25882,0.96593,-0.78183,0.62349,trend,0.00177,0.00455,0.38981,-0.02674,-0.03336,0.00653,0.00637,1.02638,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 00:00:00,88172.16,88692.3,88074.37,88465.9,626.14158,0.00333,-0.00275,-0.00032,-0.0013,-0.00396,-0.00415,90281.33028,1815.43028,88465.9,0.0,89062.22132,596.32132,88453.97163,-11.92837,617.93,595.12071,0.00224,0.00162,0.0,1.0,0.0,1.0,trend,0.00194,0.00456,0.42495,-0.0235,-0.03336,0.00673,0.00635,1.0601,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 01:00:00,88465.9,89338.01,88428.07,89242.32,767.16149,0.00878,0.00333,-0.00275,-0.00032,-0.00097,-0.00107,90260.75582,1018.43582,89242.32,0.0,89079.37358,-162.94642,88716.75442,-525.56558,909.94,576.8,0.00358,0.00209,0.25882,0.96593,0.0,1.0,high_vol,0.00276,0.00458,0.60297,-0.01493,-0.03336,0.00646,0.00632,1.02287,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 02:00:00,89242.33,90052.64,89235.72,89321.85,985.6588,0.00089,0.00878,0.00333,-0.00275,-0.0013,-0.00209,90242.16362,920.31362,89321.85,0.0,89102.46657,-219.38343,88918.45295,-403.39705,816.92,594.79429,0.00336,0.0021,0.5,0.86603,0.0,1.0,high_vol,0.00278,0.00457,0.60796,-0.01405,-0.03336,0.00666,0.00629,1.05822,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 03:00:00,89321.85,89543.88,89225.91,89282.6,320.69878,-0.00044,0.00089,0.00878,0.00333,-0.00032,-0.0003,90223.16236,940.56236,89282.6,0.0,89119.62213,-162.97787,89039.8353,-242.7647,317.97,588.07786,0.00335,0.00209,0.70711,0.70711,0.0,1.0,high_vol,0.00278,0.00456,0.60879,-0.01449,-0.03336,0.00659,0.00627,1.05086,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 04:00:00,89282.6,89786.89,89272.88,89667.64,408.51835,0.00431,-0.00044,0.00089,0.00878,-0.00275,0.0021,90212.16192,544.52192,89667.64,0.0,89171.81431,-495.82569,89249.10353,-418.53647,514.01,576.75214,0.00345,0.00219,0.86603,0.5,0.0,1.0,high_vol,0.00294,0.00457,0.64359,-0.01024,-0.03336,0.00643,0.00625,1.02967,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 05:00:00,89667.64,89749.47,89492.0,89615.24,221.82498,-0.00058,0.00431,-0.00044,0.00089,0.00333,-0.00396,90200.34169,585.10169,89615.24,0.0,89214.04533,-401.19467,89371.14902,-244.09098,257.47,574.14071,0.00346,0.00219,0.96593,0.25882,0.0,1.0,high_vol,0.00294,0.00457,0.64369,-0.01082,-0.03336,0.00641,0.00623,1.02824,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
