date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_2,ema_diff_2,ema_100,ema_diff_100,ema_5,ema_diff_5,ema_80,ema_diff_80,ema_20,ema_diff_20,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,future_close,future_ret
2025-11-15 08:30:00,95983.53,96268.24,95537.02,95891.98,12.39105,-0.00086,-0.00188,-0.00175,0.00177,0.00133,0.00098,95944.02489,52.04489,96414.35221,522.37221,96052.46421,160.48421,96175.84788,283.86788,96090.51688,198.53688,731.22,512.50071,0.00157,0.00259,0.79335,-0.60876,-0.97493,-0.22252,trend,95867.3,-0.00026
2025-11-15 08:45:00,95891.98,95942.26,95494.3,95914.86,8.63434,0.00024,-0.00086,-0.00188,-0.00175,-0.00136,-0.00013,95924.58163,9.72163,96404.46127,489.60127,96006.59614,91.73614,96169.40374,254.54374,96073.78765,158.92765,447.96,528.795,0.00144,0.00259,0.75184,-0.65935,-0.97493,-0.22252,trend,96064.48,0.00156
2025-11-15 09:00:00,95914.86,96076.92,95669.11,96064.65,8.98812,0.00156,0.00024,-0.00086,-0.00188,0.00177,-0.00303,96017.96054,-46.68946,96397.73234,333.08234,96025.94742,-38.70258,96166.81723,102.16723,96072.9174,8.2674,407.81,545.69143,0.0015,0.0025,0.70711,-0.70711,-0.97493,-0.22252,chop,95952.13,-0.00117
2025-11-15 09:15:00,96057.93,96123.46,95312.31,95944.61,7.70453,-0.00125,0.00156,0.00024,-0.00086,-0.00175,4e-05,95969.06018,24.45018,96388.75962,444.14962,95998.83495,54.22495,96161.33063,216.72063,96060.69765,116.08765,811.15,582.025,0.00152,0.00249,0.65935,-0.75184,-0.97493,-0.22252,chop,95829.49,-0.0012
2025-11-15 09:30:00,95944.62,96075.31,95864.28,96026.96,8.19516,0.00086,-0.00125,0.00156,0.00024,-0.00188,0.00037,96007.66006,-19.29994,96381.59527,354.63527,96008.20997,-18.75003,96158.01284,131.05284,96057.48454,30.52454,211.03,580.97929,0.00131,0.00244,0.60876,-0.79335,-0.97493,-0.22252,chop,95839.44,-0.00195
2025-11-15 09:45:00,96026.96,96026.96,95539.9,95838.73,5.99017,-0.00196,0.00086,-0.00125,0.00156,-0.00086,0.00133,95895.04002,56.31002,96370.84546,532.11546,95951.71664,112.98664,96150.12931,311.39931,96036.65077,197.92077,487.06,601.21571,0.00142,0.00246,0.55557,-0.83147,-0.97493,-0.22252,chop,95807.6,-0.00032
2025-11-15 10:00:00,95835.17,95854.82,95586.94,95850.5,6.048,0.00012,-0.00196,0.00086,-0.00125,0.00024,-0.00136,95865.34667,14.84667,96360.54159,510.04159,95917.97776,67.47776,96142.73105,292.23105,96018.92213,168.42213,267.88,585.16071,0.00141,0.0024,0.5,-0.86603,-0.97493,-0.22252,chop,95681.62,-0.00176
2025-11-15 10:15:00,95850.5,96276.12,95723.5,95867.3,6.9048,0.00018,0.00012,-0.00196,0.00086,0.00156,0.00177,95866.64889,-0.65111,96350.77443,483.47443,95901.08518,33.78518,96135.93029,268.63029,96004.48193,137.18193,552.62,601.42929,0.00133,0.00225,0.44229,-0.89687,-0.97493,-0.22252,chop,95772.65,-0.00099
2025-11-15 10:30:00,95886.25,96064.48,95807.51,96064.48,6.9012,0.00206,0.00018,0.00012,-0.00196,-0.00125,-0.00175,95998.5363,-65.9437,96345.10523,280.62523,95955.55012,-108.92988,96134.16608,69.68608,96010.19603,-54.28397,256.97,604.405,0.00146,0.00226,0.38268,-0.92388,-0.97493,-0.22252,chop,95855.74,-0.00217
2025-11-15 10:45:00,96064.49,96064.49,95938.1,95952.13,5.91331,-0.00117,0.00206,0.00018,0.00012,0.00086,-0.00188,95967.59877,15.46877,96337.32355,385.19355,95954.41008,2.28008,96129.67136,177.54136,96004.66593,52.53593,126.39,586.91857,0.00136,0.00223,0.32144,-0.94693,-0.97493,-0.22252,chop,95683.99,-0.00279
