date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_100,ema_diff_100,ema_1,ema_diff_1,ema_20,ema_diff_20,ema_5,ema_diff_5,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,vol_short,vol_long,vol_ratio_strategic,drawdown,max_drawdown_window,atr_pct,atr_pct_ma,atr_pct_ratio,vol_state
2026-05-20 20:00:00,77667.49,77760.0,77476.19,77720.01,357.7103,0.00068,0.00326,-0.00198,0.00298,0.00012,0.00042,77565.14278,-154.86722,77720.01,0.0,77351.73934,-368.27066,77583.4891,-136.5209,283.81,389.54286,0.00262,0.00265,-0.86603,0.5,0.97493,-0.22252,chop,0.00245,0.00348,0.70393,0.0,-0.0258,0.00501,0.0047,1.06715,0.0
2026-05-20 21:00:00,77720.01,77766.6,77500.0,77500.01,158.00627,-0.00283,0.00068,0.00326,-0.00198,-0.00151,-0.00174,77563.85302,63.84302,77500.01,0.0,77365.86035,-134.14965,77555.66273,55.65273,266.6,392.08,0.00277,0.00266,-0.70711,0.70711,0.97493,-0.22252,chop,0.00253,0.00348,0.72825,-0.00283,-0.0258,0.00506,0.00469,1.07788,0.0
2026-05-20 22:00:00,77500.01,77504.69,77226.61,77504.69,367.95652,6e-05,-0.00283,0.00068,0.00326,0.00298,0.00303,77562.68148,57.99148,77504.69,0.0,77379.08222,-125.60778,77538.67182,33.98182,278.08,381.57214,0.00277,0.00266,-0.5,0.86603,0.97493,-0.22252,chop,0.0024,0.00347,0.69056,-0.00277,-0.0258,0.00492,0.00469,1.04979,0.0
2026-05-20 23:00:00,77504.69,77559.34,77386.93,77552.23,198.22886,0.00061,6e-05,-0.00283,0.00068,-0.00198,-0.00532,77562.47452,10.24452,77552.23,0.0,77395.57249,-156.65751,77543.19121,-9.03879,172.41,381.19786,0.00272,0.00266,-0.25882,0.96593,0.97493,-0.22252,chop,0.00239,0.00347,0.68723,-0.00216,-0.0258,0.00492,0.00469,1.04911,0.0
2026-05-21 00:00:00,77552.24,78071.42,77525.0,77967.09,547.83434,0.00535,0.00061,6e-05,-0.00283,0.00326,0.00313,77570.48671,-396.60329,77967.09,0.0,77450.00273,-517.08727,77684.49081,-282.59919,546.42,407.52286,0.00301,0.00275,0.0,1.0,0.43388,-0.90097,chop,0.00258,0.00349,0.73981,0.0,-0.0258,0.00523,0.00468,1.11602,0.0
2026-05-21 01:00:00,77967.09,78173.15,77800.0,77863.85,453.71737,-0.00132,0.00535,0.00061,6e-05,0.00068,0.00012,77576.29588,-287.55412,77863.85,0.0,77489.41675,-374.43325,77744.27721,-119.57279,373.15,416.96929,0.0025,0.0026,0.25882,0.96593,0.43388,-0.90097,chop,0.00261,0.00349,0.74836,-0.00132,-0.0258,0.00536,0.00468,1.14356,0.0
2026-05-21 02:00:00,77863.85,78100.0,77820.1,77955.78,820.7986,0.00118,-0.00132,0.00535,0.00061,-0.00283,-0.00151,77583.81042,-371.96958,77955.78,0.0,77533.8323,-421.9477,77814.77814,-141.00186,279.9,409.63857,0.00239,0.0026,0.5,0.86603,0.43388,-0.90097,chop,0.00257,0.00348,0.73724,-0.00015,-0.0258,0.00525,0.00468,1.12208,0.0
2026-05-21 03:00:00,77955.78,78098.85,77908.0,78078.72,441.60659,0.00158,0.00118,-0.00132,0.00535,6e-05,0.00298,77593.61061,-485.10939,78078.72,0.0,77585.72637,-492.99363,77902.75876,-175.96124,190.85,374.51571,0.0024,0.00259,0.70711,0.70711,0.43388,-0.90097,chop,0.00257,0.00347,0.74133,0.0,-0.0258,0.0048,0.00468,1.02456,0.0
2026-05-21 04:00:00,78078.72,78180.01,77965.36,78035.8,365.79347,-0.00055,0.00158,0.00118,-0.00132,0.00061,-0.00198,77602.36683,-433.43317,78035.8,0.0,77628.59052,-407.20948,77947.10584,-88.69416,214.65,341.085,0.00234,0.00258,0.86603,0.5,0.43388,-0.90097,chop,0.00259,0.00345,0.75024,-0.00055,-0.0258,0.00437,0.00468,0.93445,0.0
2026-05-21 05:00:00,78035.8,78147.07,77714.94,77828.0,390.37362,-0.00266,-0.00055,0.00158,0.00118,0.00535,0.00326,77606.83482,-221.16518,77828.0,0.0,77647.5819,-180.4181,77907.40389,79.40389,432.13,332.44857,0.00241,0.00262,0.96593,0.25882,0.43388,-0.90097,chop,0.00247,0.00344,0.71768,-0.00321,-0.0258,0.00427,0.00468,0.9137,0.0
2026-05-21 06:00:00,77828.0,77873.15,77533.45,77622.14,317.41875,-0.00265,-0.00266,-0.00055,0.00158,-0.00132,0.00068,77607.13789,-15.00211,77622.14,0.0,77645.15886,23.01886,77812.31593,190.17593,339.7,318.24,0.00248,0.00264,1.0,0.0,0.43388,-0.90097,chop,0.00248,0.00344,0.7207,-0.00585,-0.0258,0.0041,0.00467,0.87734,0.0
2026-05-21 07:00:00,77622.14,77901.06,77521.0,77889.01,380.5065,0.00344,-0.00265,-0.00266,-0.00055,0.00118,-0.00283,77612.71951,-276.29049,77889.01,0.0,77668.38278,-220.62722,77837.88062,-51.12938,380.06,310.90143,0.0025,0.00266,0.96593,-0.25882,0.43388,-0.90097,chop,0.00254,0.00345,0.73514,-0.00243,-0.0258,0.00399,0.00467,0.85444,0.0
2026-05-21 08:00:00,77889.01,78200.0,77885.53,77924.63,493.4737,0.00046,0.00344,-0.00265,-0.00266,0.00158,6e-05,77618.89596,-305.73404,77924.63,0.0,77692.78728,-231.84272,77866.79708,-57.83292,314.47,316.51429,0.00249,0.00263,0.86603,-0.5,0.43388,-0.90097,chop,0.00251,0.00345,0.72559,-0.00197,-0.0258,0.00406,0.00467,0.86966,0.0
2026-05-21 09:00:00,77924.63,77977.53,77633.02,77633.02,277.92731,-0.00374,0.00046,0.00344,-0.00265,-0.00055,0.00061,77619.17564,-13.84436,77633.02,0.0,77687.09516,54.07516,77788.87139,155.85139,344.51,315.48143,0.00261,0.00266,0.70711,-0.70711,0.43388,-0.90097,chop,0.00263,0.00346,0.76138,-0.00571,-0.0258,0.00406,0.00467,0.87038,0.0
2026-05-21 10:00:00,77633.03,77678.01,77190.09,77198.08,783.43483,-0.0056,-0.00374,0.00046,0.00344,-0.00266,0.00535,77610.83712,412.75712,77198.08,0.0,77640.52228,442.44228,77591.94092,393.86092,487.92,330.06071,0.00309,0.00275,0.5,-0.86603,0.43388,-0.90097,chop,0.00288,0.00348,0.82535,-0.01128,-0.0258,0.00428,0.00467,0.91602,0.0
2026-05-21 11:00:00,77198.09,77372.0,77147.15,77189.1,380.03818,-0.00012,-0.0056,-0.00374,0.00046,-0.00265,-0.00132,77602.48589,413.38589,77189.1,0.0,77597.52969,408.42969,77457.66062,268.56062,224.85,327.07857,0.00308,0.00268,0.25882,-0.96593,0.43388,-0.90097,chop,0.00286,0.00347,0.82261,-0.01139,-0.0258,0.00424,0.00467,0.9082,0.0
2026-05-21 12:00:00,77189.1,77363.32,77080.72,77278.53,382.67307,0.00116,-0.00012,-0.0056,-0.00374,0.00344,0.00118,77596.07092,317.54092,77278.53,0.0,77567.14876,288.61876,77397.95041,119.42041,282.6,327.40143,0.00256,0.00265,0.0,-1.0,0.43388,-0.90097,chop,0.00279,0.00344,0.81253,-0.01025,-0.0258,0.00424,0.00466,0.90868,0.0
